id	GSM335197_Control	GSM335198_Control	GSM335199_Control	GSM335185_Treat	GSM335186_Treat	GSM335187_Treat	GSM335188_Treat	GSM335189_Treat
ACTR10	8.87393839099269	9.25313065542253	8.66130273637678	8.3048763446698	8.07810114000623	8.67897565482714	8.59536692728288	8.82280969868808
ACTR1A	6.713287918812	6.66698416544069	6.97898665443955	7.4279340826276	6.04585231905324	6.36877335784214	7.08147795644864	6.14875931844761
ACTR1B	6.54000118328146	6.83181003648565	6.87673218673802	6.44406555101518	6.34767745067927	6.59933358389101	6.41978273635567	6.38978642335876
ACTR2	7.79674341736284	8.17533275556886	8.22164535805189	8.04965354751173	8.24640965655685	7.53362487415506	8.18671339194354	8.75817364410628
ACTR3	8.55307094139261	8.49710763739839	8.45627104149356	8.60407345847839	8.80888853051676	8.47024426221079	8.85491796974484	9.22724115698551
ACTR3B	4.60639338098654	5.97543442925716	6.44141377287588	5.86823783381951	4.178696839648	5.13121849073136	5.62174069914305	4.93966154670218
ACTR5	5.29527793821613	5.31199514780388	5.03206531937937	5.0612012628538	5.35467727832337	5.37013502729258	5.39286449081343	4.78364139655917
ACTR6	7.42309559324738	6.90143682010593	6.50570943776142	7.68734829440364	6.42446073566164	6.33187995780818	6.35684310732678	6.53314304404716
ACTR8	5.92038777432447	5.80331409214733	5.45750652576715	5.98040522680961	5.97360628509481	5.45487528736832	5.93737374126357	5.85261234525115
ACVR1	6.39239325190802	6.04159828049241	6.07568999369253	6.45291926492583	6.569593730751	6.64540014249341	5.8450945432755	6.39239325190802
ACVR1B	5.31017476576747	5.78567608413381	5.64156530262345	5.7240259105994	5.88539516475172	5.54080633017426	5.36247125684156	5.49001835023388
ACVR2A	6.12424299022108	6.20304878227588	5.94746144519014	6.11783348079262	5.7558103778476	5.80622083475552	5.84275620058043	6.34258113360959
ACVR2B	6.16952580660524	5.77727527371091	6.12079292246094	5.32461965819031	4.3990003479151	5.22410533519304	5.66658982744635	6.16110785182471
ACVR2B-AS1	4.40031386911532	2.82626150617389	4.34100998531096	4.50100884891213	2.56379038590303	3.82849720224238	4.89504510587935	3.32669706392109
ACVRL1	4.58541933926037	2.7953622275053	3.04619014973522	4.98332051174063	4.98527287242887	4.07970807827322	4.61789783033527	4.87179016966083
ACYP1	5.71404521005409	5.62137172090538	5.40876672279896	5.89481015400342	5.19897746052238	5.27235932617202	5.79141976545802	5.53713167579497
ADA	5.6484135519644	5.40999209352187	5.14579176846394	3.43998943900363	4.69554855027275	5.20072257810815	4.94097572883943	5.24619408905046
ADAM10	7.607264205874	7.30356783786957	7.10373928282656	6.4074454786776	6.58079210402099	6.69537775639529	6.61767205899869	6.7568898954051
ADAM11	3.15906211171045	3.35562954730214	3.4106958905636	2.59987852008334	3.15646460501847	2.09699088985049	3.02617608849006	2.00654119192498
